District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Illinois 16th,IL-16,Republican,Adam,Kinzinger,(ADD-um KIN-zing-er),/'æ.ɾəm 'kɪn.ziŋ.gəɹ/,2010,1978,Man,White - Non-Hispanic,Protestant,No,Re-elected,0,100,29.4,70.6,38.3,55.5,R+,10,45.2,52.9,R+,6,51,49,R+,3,88,3.2,6.5,1.4,0.2,0.7,21.7,342,21.9,397,"$56,180.00",198,0,100,29.4,70.6,38.2,61.8,148,,,,,217198,63810,153388,0,112301,181789,311988,119542,173093,303685,137165,160606,316496,161286,155210,-10.3,-5.9,-2.7,713876,610941,23431,59684,9694,1071,9055,544420,479292,17295,35635,7422,818,3958
Illinois 17th,IL-17,Democratic,Cheri,Bustos,(SHAIR-ee BOO-stohs),/'ʃɛ.ɹi 'bu.stoʊs/,2012,1961,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,60.3,39.7,55.5,44.5,46.7,47.4,R+,1,57.6,40.6,D+,7,60.9,39.1,D+,7,81.7,9.6,6.4,1,0.2,1.1,18.4,398,19.8,415,"$45,731.00",349,60.3,39.7,55.5,44.5,53.3,46.7,149,,,,,199361,110560,88785,16,153519,134623,287103,133999,136017,294701,169702,119753,304799,185705,119094,-1.5,6.7,7.2,712708,554098,77951,57761,7493,1433,13972,545747,445791,52482,34935,5651,1154,5734
Illinois 18th,IL-18,Republican,Darin,LaHood,(DAIR-in luh-HOOD),/'dɛ.ɹɪn lə.'hʊd/,2015 Special,1968,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,27.9,72.1,25.3,74.7,33.3,60.6,R+,16,37.4,60.7,R+,14,44.8,55.2,R+,9,91.7,3.4,1.9,2,0.2,0.8,32,155,31.4,237,"$61,544.00",143,27.9,72.1,25.3,74.7,25.8,74.2,150,,,,,246740,62377,184363,0,85164,244467,347134,115442,210529,334302,125036,202785,339790,152164,187626,-15.7,-13.8,-8.9,712949,644226,25551,16720,15286,1161,10005,547688,502334,18770,10546,10975,864,4199
Indiana 1st,IN-01,Democratic,Pete,Visclosky,(PEET vi-SKLOW-skee) [OW as in cow],/pit vɪ.'sklaʊ.ski/,1984,1949,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,81.5,0,60.8,35.8,54.1,41.5,D+,5,61.2,37.4,D+,10,63.9,36.1,D+,10,67.8,18.2,11.7,1.2,0.2,0.9,22.7,327,25.5,334,"$52,256.00",240,100,0,62.9,37.1,67.3,32.7,151,,,,,142293,86579,51000,4714,187743,91291,300283,162358,124638,297470,182021,111217,304458,194518,109940,5.5,10.1,10.2,719572,459201,140935,99421,8425,1438,10152,539744,365848,98416,63019,6532,1068,4861
Indiana 2nd,IN-02,Republican,Jackie,Walorski,(JACK-ee wuh-LORE-skee),/'dʒæ.ki wə.'lɔɹ.ski/,2012,1963,Woman,White - Non-Hispanic,Evangelical,No,Re-elected,36.9,59.3,38.3,58.9,36.1,59.3,R+,13,42.1,56.1,R+,9,50.1,49.9,R+,4,85.2,6,6.3,1.1,0.3,1,21,353,22.2,391,"$48,654.00",303,38.4,61.6,39.4,60.6,49.3,50.7,152,,,,,145200,55590,85583,4027,130113,134033,275928,99496,163527,276012,116324,154841,290607,145652,144955,-13.3,-9.1,-3.6,721243,590503,47848,59526,8058,2138,13170,536097,456670,32369,34000,6065,1609,5384
Indiana 3rd,IN-03,Republican,Jim,Banks,(JIM BAYNKS),/dʒɪm beɪŋks/,2016,1979,Man,White - Non-Hispanic,,No,Open - Ran for Senate and lost in primary,23,70.1,26.7,65.8,30.1,65.1,R+,19,35.7,62.5,R+,16,43.4,56.6,R+,10,87.8,5.4,4.2,1.4,0.3,0.9,22.4,333,23.4,367,"$50,690.00",267,24.7,75.3,28.9,71.1,33,67,153,,,,,148793,39771,97892,11130,92363,187872,291173,87697,189573,287231,102534,179628,291490,126595,164895,-19.5,-15.6,-10.3,720169,613567,42520,38919,11518,1773,11872,526624,462130,28444,22235,7612,1329,4874
Indiana 4th,IN-04,Republican,Todd,Rokita,(TAHD roh-KEE-tuh),/tɑd ɹoʊ.'ki.ɾə/,2010,1970,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,30.5,64.6,33.1,66.9,30.2,64.3,R+,19,36.9,60.9,R+,14,45.1,54.9,R+,9,89.5,2.9,4.1,2.4,0.2,0.9,25.8,267,25.8,328,"$54,897.00",211,32.1,67.9,33.1,66.9,35.5,64.5,154,,,,,142054,47056,94998,0,93015,168688,302370,91264,194402,279662,103103,170245,296992,134036,162956,-19.2,-14.2,-8.6,720466,632668,22272,37835,16067,1471,10153,546655,489418,15709,22492,13226,1143,4667
Indiana 5th,IN-05,Republican,Susan,Brooks,(SOO-zin BROOKS),/'su.zɪn bɹʊks/,2012,1960,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,34.3,61.5,30.8,65.2,41.3,53.1,R+,7,40.7,57.5,R+,11,46.9,53.1,R+,7,85,7.8,3.4,2.6,0.2,1,44,46,44.4,90,"$65,165.00",115,35.8,64.2,32.1,67.9,39.2,60.8,155,,,,,161440,49756,105277,6407,125347,194570,363584,150081,192998,342165,139300,196744,340014,159614,180400,-7.4,-10.5,-6.7,719224,595709,58522,30396,19889,1269,13439,535579,455116,41728,18438,14004,986,5307
Indiana 6th,IN-06,Republican,Luke,Messer,(LOOK MEH-ser),/luk 'mɛ.səɹ/,2012,1969,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,26.7,69.1,29.3,65.9,27.4,67.7,R+,22,37.3,60.4,R+,14,44.2,55.8,R+,9,93.9,2.4,1.8,0.9,0.2,0.8,19.8,376,19,420,"$50,588.00",271,27.9,72.1,30.8,69.2,37.3,62.7,156,,,,,155071,45509,102187,7375,96678,162613,301524,82498,204129,285361,106371,172456,301005,133163,167842,-22.3,-13.8,-9.4,720728,668898,17551,16804,6567,1307,9601,548538,515269,12954,9915,4957,1034,4409
Indiana 7th,IN-07,Democratic,André,Carson,(AHN-dray CAR-suhn),/'ɑn.dɹeɪ 'kɑɹ.sən/,2008 Special,1974,Man,Black - African-American,Muslim,No,Re-elected,60,35.7,54.7,41.8,59,36.2,D+,11,62.9,35.3,D+,12,66.9,33.1,D+,13,61.5,26.7,8.1,1.9,0.3,1.4,22.2,337,26.3,319,"$37,939.00",416,62.7,37.3,56.7,43.3,62.9,37.1,157,,,,,112261,61443,46887,3931,162122,95828,264325,156015,95625,262188,164902,92674,277458,185588,91870,10.9,12.1,13.2,720893,410849,205537,71318,13679,1691,17819,533492,328278,142583,43356,10385,1345,7545
Indiana 8th,IN-08,Republican,Larry,Bucshon,(LAIR-ee boo-SHAHN),/'lɛə.ɹi bu.'ʃɑn/,2010,1962,Man,White - Non-Hispanic,Lutheran,No,Re-elected,31.7,63.7,35.8,60.3,30.9,64.6,R+,19,39.6,58.4,R+,12,48.8,51.2,R+,5,92.7,3.9,1.6,0.8,0.2,0.8,19.7,380,19.8,415,"$47,134.00",326,33.2,66.8,37.3,62.7,44.6,55.4,158,,,,,171315,61384,103344,6587,123741,153765,300621,92844,194208,294054,116465,171648,305817,149097,156720,-18.8,-11.5,-4.9,721206,659549,28639,14792,6226,1524,10476,554038,513492,21414,8997,4623,1203,4309
Indiana 9th,IN-09,Republican,Trey,Hollingsworth,(CHRAY HAH-leengz-werth),/tʃɹeɪ 'hɑ.lɪŋgz.wəɹθ',2016,1983,Man,White - Non-Hispanic,,No,Open - Ran for Senate and won,40.5,54.1,33.7,62.2,34.2,61.1,R+,15,40.7,57.2,R+,10,46.7,53.3,R+,7,92.1,2.4,2.3,1.9,0.2,1,25.8,267,25.5,334,"$52,041.00",245,42.8,57.2,35.1,64.9,44.6,55.4,159,,,,,163387,55016,101594,6777,132848,165332,324475,110835,198106,303390,123436,173433,311845,145776,166069,-15.2,-10.4,-6.9,720301,655509,18316,20696,12868,1554,11358,554737,511111,13388,12917,10502,1231,5588
Iowa 1st,IA-01,Republican,Rod,Blum,(RAHD BLUHM),/ɹɑd blʌm/,2014,1955,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,46.1,53.7,48.8,51.1,45.2,48.7,R+,3,56.2,42.5,D+,5,59.2,40.8,D+,5,92.6,2.7,2.5,1.1,0.3,0.7,25.6,272,26.3,319,"$55,645.00",204,46.2,53.8,48.9,51.1,57.8,42.2,160,,,,,289306,141145,147762,399,222422,162465,390934,176535,190410,401501,225585,170753,384290,227310,156980,-3,5,5.5,761548,689523,24450,24970,9042,2447,11116,581256,538410,15917,14320,6621,1726,4262
Iowa 2nd,IA-02,Democratic,Dave,Loebsack,(DAVE LOHB-sack),/deɪv 'loʊb.sæk/,2006,1952,Man,White - Non-Hispanic,Methodist,No,Re-elected,53.7,46.2,52.5,47.4,45,49.1,R+,3,55.8,42.7,D+,5,57.9,42.1,D+,4,90.3,2.8,3.8,2,0.2,0.9,26.2,258,26.6,316,"$52,166.00",242,53.7,46.3,52.6,47.4,56.7,43.3,161,,,,,273329,143431,129455,443,211863,161977,379959,170796,186384,394310,219946,168534,379524,219565,159959,-3.3,4.7,4.2,761624,671512,25097,36511,14845,1511,12148,584497,527905,16655,21953,11589,1166,5229
Iowa 3rd,IA-03,Republican,David,Young,(DAY-vid YUHNG,/'deɪ.vɪd jʌŋɡ/,2014,1968,Man,White - Non-Hispanic,Lutheran,No,Re-elected,39.7,53.4,42.2,52.8,45,48.5,R+,3,51.4,47.2,D+,0,53.1,46.9,R+,1,88.6,3.3,4.7,2.3,0.2,0.9,31.3,161,32.7,216,"$59,433.00",162,42.6,57.4,44.5,55.5,45.5,54.5,162,,,,,282066,119109,148814,14143,168632,202000,397492,178937,192960,395798,203622,186645,371079,197112,173967,-3,0.2,-0.6,761612,654386,28351,46515,18409,1729,12222,568128,503240,18482,26956,13181,1234,5035
Iowa 4th,IA-04,Republican,Steve,King,(STEEV KING),/stiv kɪŋg/,2002,1949,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,38.6,61.2,38.3,61.6,33.5,60.9,R+,16,45.3,53.4,R+,6,49.1,50.9,R+,5,92.1,1,4.3,1.6,0.3,0.6,24,304,24.6,350,"$51,259.00",258,38.7,61.3,38.3,61.7,45.9,54.1,163,,,,,275633,105504,169834,295,169470,200063,379900,127401,231229,383129,173391,204685,376426,184953,191473,-15.6,-6.1,-4.6,761571,685702,9008,43548,12098,2894,8321,584481,538420,6010,25108,9359,1912,3672
Kansas 1st,KS-01,Republican,Roger,Marshall,(RAH-jer MAR-shuhl),/'ɹɑ.dʒəɹ 'mɑɹ.ʃəl/,2016,1960,Man,White - Non-Hispanic,,No,Open - Lost Primary,0,65.9,32,68,,,,,27.6,70.1,R+,24,31.6,68.4,R+,22,83,2.7,11.1,1.6,0.4,1.1,23.7,310,26.1,324,"$48,559.00",306,0,100,32,68,0,100,164,,,,,204161,65397,138764,0,0,211337,,,,263027,72699,184288,277524,87634,189890,,-23.7,-22.1,713394,565705,19788,101043,10692,3162,13004,536568,445393,14611,59726,8456,2353,6029
Kansas 2nd,KS-02,Republican,Lynn,Jenkins,(LIN JAYN-kuhnz),/lɪn 'dʒeɪŋ.kənz/,2008,1963,Woman,White - Non-Hispanic,Methodist,No,Re-elected,32.6,60.9,38.6,57,,,,,42.2,55.4,R+,9,46.2,53.8,R+,8,86.5,4.5,4.4,1.4,1.5,1.8,27.7,232,28.6,284,"$50,087.00",279,34.8,65.2,40.4,59.6,40.7,59.3,165,,,,,225686,87153,128742,9791,113089,164618,,,,294487,124370,163082,315809,145750,170059,,-8.7,-7.5,712614,600203,32829,39907,9179,10829,19667,543270,469720,24346,24143,7446,7961,9654
Kansas 3rd,KS-03,Republican,Kevin,Yoder,(KEV-in YOH-der),/'kɛ.vɪn 'joʊ.ɾəɹ/,2010,1976,Man,White - Non-Hispanic,Methodist,No,Re-elected,40.6,51.3,39.9,60,,,,,44.3,53.8,R+,7,49.4,50.6,R+,4,76.8,8.4,9.4,3.7,0.4,1.4,47,32,52.3,44,"$71,742.00",76,44.2,55.8,40,60,0,100,166,,,,,224280,89584,134493,203,0,201087,,,,330486,146406,177886,341738,168907,172831,,-6.8,-4.3,713788,525585,62159,80942,26960,2485,15657,522489,401428,43778,49214,19105,1857,7107
Kansas 4th,KS-04,Republican,Mike,Pompeo,(MIKE pahm-PAY-oh),/maɪk pɑm.'peɪ.oʊ/,2010,1963,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,29.6,60.7,33.3,66.7,,,,,36.1,61.6,R+,15,40.3,59.7,R+,13,79.3,6.4,8.6,3.1,0.9,1.7,27.3,238,30,256,"$51,427.00",255,32.8,67.2,33.3,66.7,33.7,66.3,167,,,,,208153,69396,138757,0,81770,161094,,,,267116,96433,164553,279350,112474,166876,,-15,-13.4,713265,539001,47921,78150,22114,6592,19487,523820,415608,33414,44859,16289,4825,8825
Kentucky 1st,KY-01,Republican,James,Comer,(JAYMZ KOH-mer),/dʒeɪmz 'koʊ.məɹ/,2016,1943,Man,White - Non-Hispanic,Methodist,No,Vacant (Ed Whitfield) - Resigned After Retiring,27.3,72.6,26.9,73.1,23.9,72.4,R+,26,32.1,66.4,R+,19,37.4,62.6,R+,16,89.9,6.5,2,0.5,0.2,0,16.9,413,16.9,429,"$40,358.00",403,27.4,72.6,26.9,73.1,30.4,69.6,168,,,,,236618,63596,173022,0,87199,199956,310299,74179,224657,296791,95273,197074,296559,111030,185529,-26.3,-19.4,-16.2,723331,638962,49550,18499,4009,1476,544,554556,498650,36174,10893,3040,1192,179
Kentucky 2nd,KY-02,Republican,Brett,Guthrie,(BRETT GUH-three),/bɹɛt 'gʌ.θɹi/,2008,1964,Man,White - Non-Hispanic,Churches of Christ,No,Re-elected,0,100,30.8,69.2,27.6,67.5,R+,22,35.1,63.3,R+,16,37.7,62.3,R+,16,90.3,5.2,2.3,1.1,0.3,0,19.8,376,19.9,413,"$46,401.00",341,0,100,30.8,69.2,33,67,169,,,,,226834,69898,156936,0,89541,181508,324512,89563,219152,294280,103432,186207,294952,111139,183813,-22.1,-16.3,-16,724739,642527,38566,21050,8305,1752,805,548073,494678,28374,12467,6004,1388,270
Kentucky 3rd,KY-03,Democratic,John,Yarmuth,(JAHN YAR-muhth,/dʒɑn 'jɑɹ.məθ/,2006,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,63.5,36.5,63.5,35.6,54.9,39.9,D+,7,55.7,42.8,D+,5,56.8,43.2,D+,3,73.5,19.2,3.8,2.1,0.2,0.1,32.7,145,35.9,175,"$50,450.00",273,63.5,36.5,64.1,35.9,64.9,35.1,170,,,,,247355,157056,87981,2318,206385,111452,340043,186549,135714,328389,183015,140539,340357,193236,147121,6.8,4.6,3.1,723136,506794,151669,32131,15841,1454,1232,556038,408636,106590,21200,11559,1166,534
Kentucky 4th,KY-04,Republican,Thomas,Massie,(TAH-muhs MASS-ee),/'tɑ.məs 'mæ.si/,2012 Special,1971,Man,White - Non-Hispanic,Christian,No,Re-elected,28.7,71.3,32.3,67.7,29.3,65.2,R+,20,34.8,63.4,R+,17,37.6,62.4,R+,16,92.5,3.1,2.3,1,0.2,0.1,26.5,253,26.9,312,"$55,744.00",203,28.7,71.3,32.3,67.7,36,64,171,,,,,222158,71694,150464,0,104734,186036,337149,98664,219749,311035,108328,197131,307342,115487,191855,-20.1,-16.5,-16.1,722466,658904,23007,20832,7570,1269,814,539855,499571,16877,12654,5266,1033,288
Kentucky 5th,KY-05,Republican,Hal,Rogers,(HAL RAH-jerz),/hæl 'ɹɑ.dʒəɹz/,1980,1937,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,100,21.7,78.3,17.5,79.6,R+,33,23.2,75,R+,28,32.2,67.8,R+,22,96.5,1.4,0.9,0.3,0.2,0,13.2,430,13.3,435,"$31,339.00",434,0,100,21.7,78.3,22.1,77.9,172,,,,,218967,47617,171350,0,55447,195408,278383,48628,221558,261483,60785,196167,256944,82637,174307,-33.1,-28.3,-21.5,723534,696306,9622,7783,2312,1301,247,559487,539975,8078,5012,1669,1080,93
Kentucky 6th,KY-06,Republican,Andy,Barr,(ANN-dee BAR),/'æn.di bɑɹ/,2012,1973,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,38.9,61.1,40,60,39.4,54.7,R+,9,42.2,55.8,R+,9,45.5,54.5,R+,8,85.3,8.1,3.7,1.7,0.2,0.1,30.1,189,31.5,236,"$49,531.00",286,38.9,61.1,40,60,48,52,173,,,,,245694,98290,147404,0,141438,153222,333012,131271,182141,304861,128537,170076,304293,138456,165837,-9.2,-8.9,-8.2,722156,602157,60661,32541,12375,1390,992,557982,476004,45022,20661,9321,1113,397
Louisiana 1st,LA-01,Republican,Steve,Scalise,(STEEV skuh-LEES),/stiv skə.'lis/,2008 Special,1965,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,19.5,74.6,18.9,77.6,26.7,68.7,R+,23,26.9,70.9,R+,24,25.9,74.1,R+,28,76.6,11.7,7.3,2,1.2,1.2,29.4,203,32.4,221,"$54,677.00",213,20.7,79.3,19.6,80.4,22,78,174,,,,,244004,46047,189250,8707,61703,218340,356482,95169,244907,332923,89418,235877,315304,81515,233789,-23.1,-24.5,-27.8,756070,563130,98107,57229,14981,9854,12769,580152,444589,67986,42140,11596,6766,7075
Louisiana 2nd,LA-02,Democratic,Cedric,Richmond,(SEH-druhk RICH-muhn),/'sɛ.dʒɹək 'ɹɪtʃ.mən/,2010,1973,Man,Black - African-American,Baptist,No,Re-elected,100,0,85.8,0,74.6,22.2,D+,26,75.8,22.8,D+,25,74.2,25.8,D+,21,31.8,58.5,5.8,2.6,0.3,1.1,22.8,323,35.8,177,"$37,856.00",417,100,0,100,0,82.1,17.9,175,,,,,221564,190000,0,31564,230417,50146,331702,247490,73779,328306,248982,74893,317257,235554,81703,25.9,24.9,20.6,754952,216579,464219,43268,18854,2148,9884,569251,180954,332980,32766,14768,1609,6174
Louisiana 3rd,LA-03,Republican,Clay,Higgins,(KLAY HIG-inz),/kleɪ 'hɪ.gɪnz/,2016,1961/1962,Man,White - Non-Hispanic,,No,Open - Ran for Senate and lost,17.5,80.7,0,88,29.2,67.3,R+,21,32.3,66.1,R+,19,34.6,65.4,R+,19,71.5,22.8,2.8,1.3,0.4,1.1,20.2,369,23.1,374,"$46,766.00",335,17.9,82.1,0,100,21.8,78.2,176,,,,,236268,0,207926,28342,67070,240558,343025,100241,231017,333573,107611,220490,322782,111831,210951,-20.9,-19.2,-19,755596,520993,186297,23014,9949,3457,11886,561690,401739,128156,15956,7455,2469,5915
Louisiana 4th,LA-04,Republican,Mike,Johnson,(MAHYK JAHN-suhn),/maɪk 'dʒɑn.sən/,2016,1944,Man,White - Non-Hispanic,Southern Baptist,No,Open - Ran for Senate and lost,28.2,69.8,0,73.4,36.6,60.6,R+,13,39.7,59,R+,12,40.4,59.6,R+,13,62.2,32.1,2.8,1,0.8,1.2,19.3,388,22.1,396,"$40,689.00",402,28.7,71.3,0,100,0,100,177,,,,,207919,0,152683,55236,0,187894,318462,116599,192977,324250,128612,191416,313919,126899,187020,-13.4,-11.8,-13.3,755334,450181,255509,24173,7098,6077,12296,566615,352616,181698,15802,5549,4410,6540
Louisiana 5th,LA-05,Republican,Ralph,Abraham,(RALF AY-bruh-ham),/ɹælf 'eɪ.bɹə.hæəm/,2014,1954,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,0,100,35.8,64.2,34.1,63.5,R+,16,37.7,61,R+,14,37.2,62.8,R+,17,63,33.2,1.9,0.7,0.4,0.8,17.6,406,20.4,407,"$35,321.00",426,0,100,35.8,64.2,0,100,178,,,,,209622,75006,134616,0,0,202536,323409,110259,205258,329531,124102,201058,333824,124119,209705,-16.2,-13.8,-16.5,755317,458328,265012,15313,5074,3155,8435,567467,357706,188300,10630,3925,2327,4579
Louisiana 6th,LA-06,Republican,Garret,Graves,(GAIR-ett GRAYVZ),/'gɛ.ɹɛt gɹeɪvz/,2014,1972,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,23.9,72.8,37.6,62.4,31,64.8,R+,19,32,66.1,R+,19,31.4,68.6,R+,22,71.9,21.1,3.6,2,0.4,0.9,29.3,205,31.2,240,"$60,440.00",156,24.7,75.3,37.6,62.4,0,100,179,,,,,222990,83781,139209,0,0,243553,355951,110395,230700,345482,110416,228528,328165,103071,225094,-18.7,-19.4,-22.3,756103,525673,173276,29563,14915,3401,9275,570182,410057,120462,20797,11497,2371,4998
Maine 1st,ME-01,Democratic,Chellie,Pingree,(SHELL-ee PING-ree),/'ʃɛ.li 'piŋ.gɹi/,2008,1955,Woman,White - Non-Hispanic,Lutheran,No,Re-elected,58,41.9,60.4,30.7,54.1,39.3,D+,7,59.6,38.2,D+,9,61.8,38.2,D+,8,95.1,1,1.2,1.3,0.3,1.1,37.3,96,37.3,155,"$59,452.00",161,58,42,66.3,33.7,64.8,35.2,180,,,,,308898,186674,94751,27473,236363,128440,393343,212773,154425,374522,223103,142993,366134,226309,139825,6.8,9,8.1,664180,624117,8632,9676,9288,2108,10359,526524,500920,5395,6140,6767,1672,5630
Maine 2nd,ME-02,Republican,Bruce,Poliquin,(BROOS PAH-lih-kwin),/bɹus 'pɑ.lɪ.kwɪn/,2014,1953,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,45.2,54.8,41.8,47,41.1,51.4,R+,7,53,44.4,D+,2,55.7,44.3,D+,2,96,0.7,0.8,0.6,0.8,1,22.8,323,22.8,379,"$44,560.00",357,45.2,54.8,47.1,52.9,58.2,41.8,181,,,,,283473,118568,133320,31585,191456,137542,352341,144962,181168,336531,178203,149283,351062,195614,155448,-6.7,2.5,2,664181,630180,6522,7259,4467,6102,9651,527304,506103,3639,4385,3251,4407,5519
Maryland 1st,MD-01,Republican,Andy,Harris,(ANN-dee HAIR-iss),/'æn.di 'hɛ.ɹɪs/,2010,1957,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,28.6,67,29.5,70.4,,,,,37.8,60.3,R+,13,39.2,60.8,R+,15,83.2,11.1,2.8,1.8,0.2,1,31,166,32.4,221,"$69,824.00",86,29.9,70.1,29.5,70.5,30.2,69.8,182,,,,,250418,73843,176342,233,92812,214204,,,,353389,133521,213073,343549,134591,208958,,-13.4,-14.5,721003,587883,82279,23789,13367,1484,12201,556858,463526,61631,15365,9771,1173,5392
Maryland 2nd,MD-02,Democratic,Dutch,Ruppersberger,(DUHCH ROO-perz-berg-er),/dʌtʃ 'ɹu.pɹz.ˌbɜɹ.gəɹ/,2002,1946,Man,White - Non-Hispanic,Methodist,No,Re-elected,62.1,33.1,61.3,35.9,,,,,62.9,35.1,D+,12,61.8,38.2,D+,8,58.8,29.9,4.7,4.6,0.3,1.7,31.1,165,31.7,232,"$62,278.00",134,65.2,34.8,63.1,36.9,67.8,32.2,183,,,,,196354,120412,70411,5531,194088,92071,,,,311584,195997,109488,300037,185327,114710,,12.2,8.1,717779,393132,230704,39026,32899,2355,19663,548029,322365,163682,25752,25102,1814,9314
Maryland 3rd,MD-03,Democratic,John,Sarbanes,(JAHN SAR-bainz),/dʒɑn 'sɑɹ.beɪnz/,2006,1962,Man,White - Non-Hispanic,Eastern Orthodox,No,Re-elected,63.2,33.9,59.5,40.3,,,,,60.6,37.2,D+,10,61.3,38.7,D+,8,66.2,18.7,6.8,6.4,0.2,1.7,47.3,30,51.3,49,"$81,231.00",38,65.1,34.9,59.6,40.4,69.3,30.7,184,,,,,215946,128594,87029,323,213747,94549,,,,337274,204501,125439,321448,196967,124481,,10,7.6,717166,451678,144608,55147,46293,1612,17828,561258,371738,104849,38079,35923,1248,9421
Maryland 4th,MD-04,Democratic,Anthony,Brown,(ANN-thuh-nee BROWN),/'æn.θə.ni bɹaʊn/,2016,1961,Man,Black - African-American,Roman Catholic,No,Open - Ran for Senate and lost in primary,74.1,21.4,70.2,28.3,,,,,78.3,20.7,D+,27,78,22,D+,24,28.8,53.6,12.5,3.3,0.2,1.6,33,141,47.6,69,"$78,412.00",50,77.6,22.4,71.3,28.7,78.8,21.2,185,,,,,191837,134628,54217,2992,240385,64560,,,,326903,255910,67662,317262,247508,69754,,27.1,24.3,724534,197946,388849,98584,22443,1698,15014,546219,157327,292591,68150,17943,1312,8896
Maryland 5th,MD-05,Democratic,Steny,Hoyer,(STEH-nee HOY-er),/'stɛ.ni 'hɔɪ.əɹ/,1981 Special,1939,Man,White - Non-Hispanic,Baptist,No,Re-elected,67.4,29.4,64,35.7,,,,,66.2,32.3,D+,15,65.9,34.1,D+,12,52,35.3,6.3,4.1,0.4,1.9,34.9,120,37,158,"$91,820.00",20,69.6,30.4,64.2,35.8,71.5,28.5,186,,,,,226040,144725,80752,563,238618,95271,,,,354940,234954,114638,336497,221879,114618,,15.2,12.2,722586,356876,262920,52286,27778,2540,20186,546582,284415,192813,34460,22561,1962,10371
Maryland 6th,MD-06,Democratic,John,Delaney,(JAHN duh-LAY-nee),/dʒɑn də.'leɪ.ni/,2012,1963,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,56,40.1,49.7,48.2,,,,,55.4,42.6,D+,5,57.3,42.7,D+,4,66.4,11.8,10.1,10,0.2,1.7,41,69,40.7,123,"$73,641.00",67,58.3,41.7,50.7,49.3,60.8,39.2,187,,,,,190536,94704,91930,3902,181921,117313,,,,323326,179172,137744,307381,176020,131361,,4.6,3.6,727594,462578,89470,81712,72931,1314,19589,551978,366270,64858,55674,55054,1009,9113
Maryland 7th,MD-07,Democratic,Elijah,Cummings,(ee-LIE-juh KUHM-ingz),/e.'laɪ.ʒə kʌ.mɪŋgz/,1996 Special,1951,Man,Black - African-American,Baptist,No,Re-elected,74.9,21.8,69.9,27,,,,,76,22.5,D+,25,77.3,22.7,D+,24,36.1,53.4,2.9,5.8,0.2,1.6,37,98,56.3,30,"$59,026.00",165,77.4,22.6,72.1,27.9,78.6,21.4,188,,,,,206809,144639,55860,6310,247770,67405,,,,331511,251845,74614,325757,251740,74017,,25.2,23.6,719131,245705,392787,22498,41461,1634,15046,554898,200546,296237,15898,32197,1298,8722
Maryland 8th,MD-08,Democratic,Jamie,Raskin,(JAY-mee RASS-kin),dʒeɪ.mi ɹæs.kᵻn/,2016,1962,Man,White - Non-Hispanic,Jewish,No,Open - Ran for Senate and won,60.6,34.2,60.7,39,,,,,62,36.1,D+,11,63.9,36.1,D+,10,65.5,11.4,12.4,8.8,0.2,1.7,53.9,16,59.7,22,"$95,314.00",14,63.9,36.1,60.9,39.1,65.8,34.2,189,,,,,225097,136722,87859,516,217531,113033,,,,358091,221944,129211,337399,215436,121963,,11.2,10.2,723759,462160,82612,97590,61934,1178,18285,554766,363319,63135,68930,48923,906,9553
